"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
2,0.5,1.5,0,9,12,5,7.3,3.51175920315441
2,0.5,1.5,0,9,12,5,7.4,3.55363875902616
2,0.5,1.5,0,9,12,5,7.5,3.57671706134232
2,0.5,1.5,0,9,12,5,7.6,3.57828716156321
2,0.5,1.5,0,9,12,5,7.7,3.55555962680218
2,0.5,1.5,0,9,12,5,7.8,3.50593711641388
2,0.5,1.5,0,9,12,5,7.9,3.42737614026721
2,0.5,1.5,0,9,12,5,8,3.33869186789733
2,0.5,1.5,0,9,12,5,8.1,3.24660802748595
2,0.5,1.5,0,9,12,5,8.2,3.13164156676606
2,0.5,1.5,0,9,12,5,8.3,2.99440578295538
2,0.5,1.5,0,9,12,5,8.4,2.83633872702935
2,0.5,1.5,0,9,12,5,8.5,2.68610039060362
2,0.5,1.5,0,9,12,5,8.6,2.54369669264452
2,0.5,1.5,0,9,12,5,8.7,2.38630022524984
2,0.5,1.5,0,9,12,5,8.8,2.21828350658631
2,0.5,1.5,0,9,12,5,8.9,2.04656386810774
2,0.5,1.5,0,9,12,5,9,1.88080435253099
2,0.5,1.5,0,9,12,5,9.1,1.73270807733292
2,0.5,1.5,0,9,12,5,9.2,1.93506472702484
2,0.5,1.5,0,9,12,5,9.3,2.24805481376725
2,0.5,1.5,0,9,12,5,9.4,2.45852646861278
2,0.5,1.5,0,9,12,5,9.5,2.57451566185069
2,0.5,1.5,0,9,12,5,9.6,2.65555979308199
2,0.5,1.5,0,9,12,5,9.7,2.69227514330217
2,0.5,1.5,0,9,12,5,9.8,2.6726001844978
2,0.5,1.5,0,9,12,5,9.9,2.60492944388039
2,0.5,1.5,0,9,12,5,10,2.49336689926147
2,0.5,1.5,0,9,12,5,10.1,2.33713856632132
2,0.5,1.5,0,9,12,5,10.2,2.24706475004852
2,0.5,1.5,0,9,12,5,10.3,2.11703732545151
2,0.5,1.5,0,9,12,5,10.4,1.96727620160985
2,0.5,1.5,0,9,12,5,10.5,1.92998660963524
2,0.5,1.5,0,9,12,5,10.6,2.07327802844114
-2,0.5,1.5,0,11,8,5,0.6,-13.5065188675274
-2,0.5,1.5,0,11,8,5,0.7,-11.4532117372091
-2,0.5,1.5,0,11,8,5,0.8,-9.66193425301713
-2,0.5,1.5,0,11,8,5,0.9,-8.07335336174264
-2,0.5,1.5,0,11,8,5,1,-6.64963853705111
-2,0.5,1.5,0,11,8,5,1.1,-5.36619908790221
-2,0.5,1.5,0,11,8,5,1.2,-4.20714056004163
-2,0.5,1.5,0,11,8,5,1.3,-3.16271412509396
-2,0.5,1.5,0,11,8,5,1.4,-2.22719212883073
-2,0.5,1.5,0,11,8,5,1.5,-1.39768094918186
-2,0.5,1.5,0,11,8,5,1.6,-0.67239766468149
-2,0.5,1.5,0,11,8,5,1.7,-0.0497743900460844
-2,0.5,1.5,0,11,8,5,1.8,0.473100840373132
-2,0.5,1.5,0,11,8,5,1.9,0.900788569570206
-2,0.5,1.5,0,11,8,5,2,1.24008257232134
-2,0.5,1.5,0,11,8,5,2.1,1.49943999194655
-2,0.5,1.5,0,11,8,5,2.2,1.68886690129952
-2,0.5,1.5,0,11,8,5,2.3,1.81935947546607
-2,0.5,1.5,0,11,8,5,2.4,1.90172190885722
-2,0.5,1.5,0,11,8,5,2.5,1.94650641441928
-2,0.5,1.5,0,11,8,5,2.6,1.96357325903135
-2,0.5,1.5,0,11,8,5,2.7,1.96182758042735
-2,0.5,1.5,0,11,8,5,2.8,1.94909990883209
-2,0.5,1.5,0,11,8,5,2.9,1.93209394032982
-2,0.5,1.5,0,11,8,5,3,1.91636766140442
-2,0.5,1.5,0,11,8,5,3.1,1.90633000878921
-2,0.5,1.5,0,11,8,5,3.2,1.90524552130386
-2,0.5,1.5,0,11,8,5,3.3,1.91525159930725
-2,0.5,1.5,0,11,8,5,3.4,1.93739881843621
-2,0.5,1.5,0,11,8,5,3.5,1.97202432799069
-2,0.5,1.5,0,11,8,5,3.6,2.01795452927291
-2,0.5,1.5,0,11,8,5,3.7,2.07349794153025
-2,0.5,1.5,0,11,8,5,3.8,2.13639092170763
-2,0.5,1.5,0,11,8,5,3.9,2.20394817548753
-2,0.5,1.5,0,11,8,5,4,2.27323474018466
-2,0.5,1.5,0,11,8,5,4.1,2.34121714557993
-2,0.5,1.5,0,11,8,5,4.2,2.40488309377231
-2,0.5,1.5,0,11,8,5,4.3,2.46132312148559
-2,0.5,1.5,0,11,8,5,4.4,2.50814924301082
-2,0.5,1.5,0,11,8,5,4.5,2.54290303948066
-2,0.5,1.5,0,11,8,5,4.6,2.56832319766927
-2,0.5,1.5,0,11,8,5,4.7,2.60279016149232
