"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
2,0.5,1.5,0,9,8,5,8.3,15.2593040411943
2,0.5,1.5,0,9,8,5,8.4,15.387522260519
2,0.5,1.5,0,9,8,5,8.5,15.5116687863204
2,0.5,1.5,0,9,8,5,8.6,15.6318724086962
2,0.5,1.5,0,9,8,5,8.7,15.748321390894
2,0.5,1.5,0,9,8,5,8.8,15.8613742839446
2,0.5,1.5,0,9,8,5,8.9,15.9712991962068
2,0.5,1.5,0,9,8,5,9,16.0783070067432
2,0.5,1.5,0,9,8,5,9.1,16.1826597801425
2,0.5,1.5,0,9,8,5,9.2,16.2847589607743
2,0.5,1.5,0,9,8,5,9.3,16.384842295828
2,0.5,1.5,0,9,8,5,9.4,16.483252397945
2,0.5,1.5,0,9,8,5,9.5,16.5801680008443
2,0.5,1.5,0,9,8,5,9.6,16.6758740807631
2,0.5,1.5,0,9,8,5,9.7,16.7706394716648
2,0.5,1.5,0,9,8,5,9.8,16.864729483931
2,0.5,1.5,0,9,8,5,9.9,16.9581982243722
2,0.5,1.5,0,9,8,5,10,17.051252561723
2,0.5,1.5,0,9,8,5,10.1,17.1439829790354
2,0.5,1.5,0,9,8,5,10.2,17.236423663301
2,0.5,1.5,0,9,8,5,10.3,17.3285611439232
2,0.5,1.5,0,9,8,5,10.4,17.4204230692835
2,0.5,1.5,0,9,8,5,10.5,17.5119030417016
2,0.5,1.5,0,9,8,5,10.6,17.6028851684516
-2,0.5,1.5,0,9,12,5,0.6,8.02673314195156
-2,0.5,1.5,0,9,12,5,0.7,7.80521971190455
-2,0.5,1.5,0,9,12,5,0.8,7.46861619159461
-2,0.5,1.5,0,9,12,5,0.9,7.10179965383814
-2,0.5,1.5,0,9,12,5,1,6.74969604049621
-2,0.5,1.5,0,9,12,5,1.1,6.43066602317392
-2,0.5,1.5,0,9,12,5,1.2,6.15228108519382
-2,0.5,1.5,0,9,12,5,1.3,5.91968316937385
-2,0.5,1.5,0,9,12,5,1.4,5.72552077040998
-2,0.5,1.5,0,9,12,5,1.5,5.57257506682972
-2,0.5,1.5,0,9,12,5,1.6,5.45283671783604
-2,0.5,1.5,0,9,12,5,1.7,5.36136618471737
-2,0.5,1.5,0,9,12,5,1.8,5.29399723331216
-2,0.5,1.5,0,9,12,5,1.9,5.24456038900152
-2,0.5,1.5,0,9,12,5,2,5.21528020375454
-2,0.5,1.5,0,9,12,5,2.1,5.19915088393426
-2,0.5,1.5,0,9,12,5,2.2,5.19453235154684
-2,0.5,1.5,0,9,12,5,2.3,5.20145462386838
-2,0.5,1.5,0,9,12,5,2.4,5.21656482894127
-2,0.5,1.5,0,9,12,5,2.5,5.23981781675422
-2,0.5,1.5,0,9,12,5,2.6,5.26946499149418
-2,0.5,1.5,0,9,12,5,2.7,5.30534909755477
-2,0.5,1.5,0,9,12,5,2.8,5.34582488560627
-2,0.5,1.5,0,9,12,5,2.9,5.39056512563473
-2,0.5,1.5,0,9,12,5,3,5.43966954917658
-2,0.5,1.5,0,9,12,5,3.1,5.49166451088367
-2,0.5,1.5,0,9,12,5,3.2,5.54661186654666
-2,0.5,1.5,0,9,12,5,3.3,5.60376080896188
-2,0.5,1.5,0,9,12,5,3.4,5.66262038998137
-2,0.5,1.5,0,9,12,5,3.5,5.72304707827202
-2,0.5,1.5,0,9,12,5,3.6,5.78368859499778
-2,0.5,1.5,0,9,12,5,3.7,5.84506718005806
-2,0.5,1.5,0,9,12,5,3.8,5.90588817212696
-2,0.5,1.5,0,9,12,5,3.9,5.96613737078417
-2,0.5,1.5,0,9,12,5,4,6.02579408430538
-2,0.5,1.5,0,9,12,5,4.1,6.08452870711432
-2,0.5,1.5,0,9,12,5,4.2,6.14197062244177
-2,0.5,1.5,0,9,12,5,4.3,6.19787867135742
-2,0.5,1.5,0,9,12,5,4.4,6.25220660330756
