"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phase [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(Average_SAR) []"""
-2,0.5,1.5,0,9,12,5,2.3,7.08449891071201
-2,0.5,1.5,0,9,12,5,2.4,7.5535011838455
-2,0.5,1.5,0,9,12,5,2.5,8.03167398218539
-2,0.5,1.5,0,9,12,5,2.6,8.51498054191927
-2,0.5,1.5,0,9,12,5,2.7,9.0075327674229
-2,0.5,1.5,0,9,12,5,2.8,9.50688144429401
-2,0.5,1.5,0,9,12,5,2.9,10.0162524156095
-2,0.5,1.5,0,9,12,5,3,10.5375486439699
-2,0.5,1.5,0,9,12,5,3.1,11.068345816779
-2,0.5,1.5,0,9,12,5,3.2,11.6118302894193
-2,0.5,1.5,0,9,12,5,3.3,12.1675016611267
-2,0.5,1.5,0,9,12,5,3.4,12.7341292945506
-2,0.5,1.5,0,9,12,5,3.5,13.3133191278148
-2,0.5,1.5,0,9,12,5,3.6,13.9019586789495
-2,0.5,1.5,0,9,12,5,3.7,14.5011160477565
-2,0.5,1.5,0,9,12,5,3.8,15.1086759031291
-2,0.5,1.5,0,9,12,5,3.9,15.7235729902133
-2,0.5,1.5,0,9,12,5,4,16.3447240600807
-2,0.5,1.5,0,9,12,5,4.1,16.9699835626388
-2,0.5,1.5,0,9,12,5,4.2,17.5969693342417
-2,0.5,1.5,0,9,12,5,4.3,18.2230130250445
-2,0.5,1.5,0,9,12,5,4.4,18.8451760692442
-2,0.5,1.5,0,9,12,5,4.5,19.4600756781545
-2,0.5,1.5,0,9,12,5,4.6,20.063582429412
-2,0.5,1.5,0,9,12,5,4.7,20.6520499639895
-2,0.5,1.5,0,9,12,5,4.8,21.221855034742
-2,0.5,1.5,0,9,12,5,4.9,21.7685904941974
-2,0.5,1.5,0,9,12,5,5,22.2881410421995
-2,0.5,1.5,0,9,12,5,5.1,22.7754630133509
-2,0.5,1.5,0,9,12,5,5.2,23.2265514908174
-2,0.5,1.5,0,9,12,5,5.3,23.6375403478701
-2,0.5,1.5,0,9,12,5,5.4,24.0053975314832
-2,0.5,1.5,0,9,12,5,5.5,24.3273224262427
-2,0.5,1.5,0,9,12,5,5.6,24.6007242938784
-2,0.5,1.5,0,9,12,5,5.7,24.8247579180246
-2,0.5,1.5,0,9,12,5,5.8,24.9991615463128
-2,0.5,1.5,0,9,12,5,5.9,25.1241887617876
-2,0.5,1.5,0,9,12,5,6,25.2010008959077
-2,0.5,1.5,0,9,12,5,6.1,25.23164536045
-2,0.5,1.5,0,9,12,5,6.2,25.2195982783546
-2,0.5,1.5,0,9,12,5,6.3,25.167453484869
-2,0.5,1.5,0,9,12,5,6.4,25.0988289188421
-2,0.5,1.5,0,9,12,5,6.5,25.0281669343641
-2,0.5,1.5,0,9,12,5,6.6,24.922504767627
-2,0.5,1.5,0,9,12,5,6.7,24.7860403053372
-2,0.5,1.5,0,9,12,5,6.8,24.6230296997518
-2,0.5,1.5,0,9,12,5,6.9,24.4381977382225
-2,0.5,1.5,0,9,12,5,7,24.2359322288548
-2,0.5,1.5,0,9,12,5,7.1,24.0205907333791
-2,0.5,1.5,0,9,12,5,7.2,23.7965277740915
-2,0.5,1.5,0,9,12,5,7.3,23.5676362118722
-2,0.5,1.5,0,9,12,5,7.4,23.3376093517185
-2,0.5,1.5,0,9,12,5,7.5,23.1099804431254
-2,0.5,1.5,0,9,12,5,7.6,22.8878531847279
-2,0.5,1.5,0,9,12,5,7.7,22.6739322048487
-2,0.5,1.5,0,9,12,5,7.8,22.4845904593113
-2,0.5,1.5,0,9,12,5,7.9,22.3548523964831
-2,0.5,1.5,0,9,12,5,8,22.2464228887621
-2,0.5,1.5,0,9,12,5,8.1,22.1605885182456
-2,0.5,1.5,0,9,12,5,8.2,22.098997367863
-2,0.5,1.5,0,9,12,5,8.3,22.0620432875358
-2,0.5,1.5,0,9,12,5,8.4,22.050639391431
-2,0.5,1.5,0,9,12,5,8.5,22.0650830877925
-2,0.5,1.5,0,9,12,5,8.6,22.1054886009522
-2,0.5,1.5,0,9,12,5,8.7,22.1726271666589
-2,0.5,1.5,0,9,12,5,8.8,22.2667121961522
-2,0.5,1.5,0,9,12,5,8.9,22.3878321210419
-2,0.5,1.5,0,9,12,5,9,22.5362049810395
-2,0.5,1.5,0,9,12,5,9.1,22.7115997650409
-2,0.5,1.5,0,9,12,5,9.2,22.9136108619089
-2,0.5,1.5,0,9,12,5,9.3,23.1419644642897
