"df [mm],""ex1 [mm]"",""ex2 [mm]"",""Phi [deg]"",""XPF1 [mm]"",""XPF2 [mm]"",""YG [mm]"",""Freq [GHz]"",""max(dB(GainTotal)) []"""
2,0.5,1.5,0,9,12,5,1.2,-21.753961526377
2,0.5,1.5,0,9,12,5,1.3,-21.0372401226481
2,0.5,1.5,0,9,12,5,1.4,-20.2142914809088
2,0.5,1.5,0,9,12,5,1.5,-19.5898672512098
2,0.5,1.5,0,9,12,5,1.6,-19.0920853100078
2,0.5,1.5,0,9,12,5,1.7,-18.6552629766402
2,0.5,1.5,0,9,12,5,1.8,-18.4437068930458
2,0.5,1.5,0,9,12,5,1.9,-18.0562761045279
2,0.5,1.5,0,9,12,5,2,-17.822984775138
2,0.5,1.5,0,9,12,5,2.1,-17.6253471154664
2,0.5,1.5,0,9,12,5,2.2,-17.4146416731167
2,0.5,1.5,0,9,12,5,2.3,-17.3533381008072
2,0.5,1.5,0,9,12,5,2.4,-17.217434451574
2,0.5,1.5,0,9,12,5,2.5,-17.1857772408192
2,0.5,1.5,0,9,12,5,2.6,-17.1367527329923
2,0.5,1.5,0,9,12,5,2.7,-17.0881979626284
2,0.5,1.5,0,9,12,5,2.8,-17.0807421449456
2,0.5,1.5,0,9,12,5,2.9,-17.1017401310205
2,0.5,1.5,0,9,12,5,3,-17.0981601629867
2,0.5,1.5,0,9,12,5,3.1,-17.1208064335262
2,0.5,1.5,0,9,12,5,3.2,-17.1159767520883
2,0.5,1.5,0,9,12,5,3.3,-17.0731183059144
2,0.5,1.5,0,9,12,5,3.4,-17.0194470690929
2,0.5,1.5,0,9,12,5,3.5,-16.8891016707708
2,0.5,1.5,0,9,12,5,3.6,-16.7538239112247
2,0.5,1.5,0,9,12,5,3.7,-16.567323825669
2,0.5,1.5,0,9,12,5,3.8,-16.3494857997844
2,0.5,1.5,0,9,12,5,3.9,-16.1199597970047
2,0.5,1.5,0,9,12,5,4,-15.8725614676422
2,0.5,1.5,0,9,12,5,4.1,-15.6251491683721
2,0.5,1.5,0,9,12,5,4.2,-15.4018160629484
2,0.5,1.5,0,9,12,5,4.3,-15.1893227746561
2,0.5,1.5,0,9,12,5,4.4,-15.0000446622118
2,0.5,1.5,0,9,12,5,4.5,-14.8399529172354
2,0.5,1.5,0,9,12,5,4.6,-14.7008779859933
2,0.5,1.5,0,9,12,5,4.7,-14.5662373870531
2,0.5,1.5,0,9,12,5,4.8,-14.4523596804683
2,0.5,1.5,0,9,12,5,4.9,-14.3508397507635
2,0.5,1.5,0,9,12,5,5,-14.2731176548661
2,0.5,1.5,0,9,12,5,5.1,-14.2088142172871
2,0.5,1.5,0,9,12,5,5.2,-14.1418762418083
2,0.5,1.5,0,9,12,5,5.3,-14.0573081647614
2,0.5,1.5,0,9,12,5,5.4,-13.9586777823748
2,0.5,1.5,0,9,12,5,5.5,-13.8543828581986
2,0.5,1.5,0,9,12,5,5.6,-13.7402799695213
2,0.5,1.5,0,9,12,5,5.7,-13.6163715064329
2,0.5,1.5,0,9,12,5,5.8,-13.4853592168426
2,0.5,1.5,0,9,12,5,5.9,-13.3558491380926
2,0.5,1.5,0,9,12,5,6,-13.2177743564183
2,0.5,1.5,0,9,12,5,6.1,-13.0782627002592
2,0.5,1.5,0,9,12,5,6.2,-12.9477187910199
2,0.5,1.5,0,9,12,5,6.3,-12.8215949426205
2,0.5,1.5,0,9,12,5,6.4,-12.704705750051
2,0.5,1.5,0,9,12,5,6.5,-12.607232903241
2,0.5,1.5,0,9,12,5,6.6,-12.512767381227
2,0.5,1.5,0,9,12,5,6.7,-12.4188276557712
2,0.5,1.5,0,9,12,5,6.8,-12.3211350114077
2,0.5,1.5,0,9,12,5,6.9,-12.2354951655326
2,0.5,1.5,0,9,12,5,7,-12.1549842190488
2,0.5,1.5,0,9,12,5,7.1,-12.0810360745277
2,0.5,1.5,0,9,12,5,7.2,-12.0148627323701
2,0.5,1.5,0,9,12,5,7.3,-11.9540007314632
2,0.5,1.5,0,9,12,5,7.4,-11.8977385252358
2,0.5,1.5,0,9,12,5,7.5,-11.8459326857356
2,0.5,1.5,0,9,12,5,7.6,-11.7999683611635
2,0.5,1.5,0,9,12,5,7.7,-11.7560571487658
2,0.5,1.5,0,9,12,5,7.8,-11.71311934395
2,0.5,1.5,0,9,12,5,7.9,-11.6765451863384
2,0.5,1.5,0,9,12,5,8,-11.642871593215
2,0.5,1.5,0,9,12,5,8.1,-11.5959697332409
2,0.5,1.5,0,9,12,5,8.2,-11.5371334141118
2,0.5,1.5,0,9,12,5,8.3,-11.487924175667
2,0.5,1.5,0,9,12,5,8.4,-11.4443987454082
2,0.5,1.5,0,9,12,5,8.5,-11.394436634045
2,0.5,1.5,0,9,12,5,8.6,-11.327927600686
2,0.5,1.5,0,9,12,5,8.7,-11.2251182129759
2,0.5,1.5,0,9,12,5,8.8,-11.0811009624239
2,0.5,1.5,0,9,12,5,8.9,-10.9480320276167
2,0.5,1.5,0,9,12,5,9,-10.8170155647036
2,0.5,1.5,0,9,12,5,9.1,-10.6830899229493
2,0.5,1.5,0,9,12,5,9.2,-10.5712107382122
2,0.5,1.5,0,9,12,5,9.3,-10.4725130127921
2,0.5,1.5,0,9,12,5,9.4,-10.3709936150923
2,0.5,1.5,0,9,12,5,9.5,-10.2751429579402
2,0.5,1.5,0,9,12,5,9.6,-10.192220805533
2,0.5,1.5,0,9,12,5,9.7,-10.1173739682756
2,0.5,1.5,0,9,12,5,9.8,-10.0493080904607
2,0.5,1.5,0,9,12,5,9.9,-9.98813942242781
2,0.5,1.5,0,9,12,5,10,-9.93613611862213
2,0.5,1.5,0,9,12,5,10.1,-9.90585646972045
2,0.5,1.5,0,9,12,5,10.2,-9.88722032000826
2,0.5,1.5,0,9,12,5,10.3,-9.86915537392105
2,0.5,1.5,0,9,12,5,10.4,-9.85825173519864
2,0.5,1.5,0,9,12,5,10.5,-9.83411455823386
2,0.5,1.5,0,9,12,5,10.6,-9.79279864218195
-2,0.5,1.5,0,11,8,5,0.6,-28.7570524306462
-2,0.5,1.5,0,11,8,5,0.7,-26.9975576997025
-2,0.5,1.5,0,11,8,5,0.8,-25.5666927680958
-2,0.5,1.5,0,11,8,5,0.9,-24.1377562270429
-2,0.5,1.5,0,11,8,5,1,-22.9400813112508
